[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x80003734] Instruction: bnez	a2,0x8000373c <memset+68> — No future Verilator match found
[PC: 0x8000373c] Instruction: sub	a3,t1,a2 — No future Verilator match found
[PC: 0x80003740] Instruction: slli	a3,a3,0x2 — No future Verilator match found
[PC: 0x80003744] Instruction: auipc	t0,0x0 — No future Verilator match found
[PC: 0x80003748] Instruction: add	a3,a3,t0 — No future Verilator match found
[PC: 0x8000377c] Instruction: sb	a1,3(a4) — No future Verilator match found
[PC: 0x80003780] Instruction: sb	a1,2(a4) — No future Verilator match found
[PC: 0x80003784] Instruction: sb	a1,1(a4) — No future Verilator match found
[PC: 0x80003788] Instruction: sb	a1,0(a4) — No future Verilator match found
[PC: 0x800036f8] Instruction: li	t1,15 — No future Verilator match found
[PC: 0x800036fc] Instruction: mv	a4,a0 — No future Verilator match found
[PC: 0x80003700] Instruction: bgeu	t1,a2,0x8000373c <memset+68> — No future Verilator match found
[PC: 0x80003704] Instruction: andi	a5,a4,15 — No future Verilator match found
[PC: 0x80003708] Instruction: bnez	a5,0x800037a8 <memset+176> — No future Verilator match found
[PC: 0x8000370c] Instruction: bnez	a1,0x80003790 <memset+152> — No future Verilator match found
[PC: 0x80003794] Instruction: slli	a3,a1,0x8 — No future Verilator match found
[PC: 0x80003798] Instruction: or	a1,a1,a3 — No future Verilator match found
[PC: 0x8000379c] Instruction: slli	a3,a1,0x10 — No future Verilator match found
[PC: 0x800037a0] Instruction: or	a1,a1,a3 — No future Verilator match found
[PC: 0x80003710] Instruction: andi	a3,a2,-16 — No future Verilator match found
[PC: 0x80003714] Instruction: andi	a2,a2,15 — No future Verilator match found
[PC: 0x80003718] Instruction: add	a3,a3,a4 — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
[PC: 0x80003724] Instruction: sw	a1,8(a4) — No future Verilator match found
[PC: 0x80003728] Instruction: sw	a1,12(a4) — No future Verilator match found
[PC: 0x8000372c] Instruction: addi	a4,a4,16 — No future Verilator match found
[PC: 0x80003730] Instruction: bltu	a4,a3,0x8000371c <memset+36> — No future Verilator match found
[PC: 0x8000371c] Instruction: sw	a1,0(a4) — No future Verilator match found
[PC: 0x80003720] Instruction: sw	a1,4(a4) — No future Verilator match found
